SKU,SKU Code,Current Price (in Pounds)
Response FakeTV - TV Simulating Anti-Burglar and Theft Deterrent,A65LQ,24.99
Yale Easy Fit Smartphone Alarm Kit,A65QA,499.99
Yale Easy Fit Telecommunicating Intruder Alarm Kit,A58LL,299.99
Yale Easy Fit Pet Friendly PIR  Movement Detector,A63QA,29.99
Response miGuard G5 GSM/SMS/RFID/Touch Controlled Wireless Home Alarm System,A58LQ,179.99
"Response miGuard Wireless PIR, Magnetic Contact and Remote Accessory Pack",A58NB,49.99
Response miGuard A11  Wireless Home Alarm System with LCD Display,A11NZ,149.99
Swann Magnetic Window/Door Alarm,N06JX,6.99
Lynteck LS5000 Wireless Multi-zone Security System,L50BH,149.99
Lynteck 4 Zone 2 Wire Alarm System LS400,N47CL,55.99
Garage/Shed Alarm,QS39N,19.99
Pressure Mat,YB91Y,8.29
Low Profile Xenon Flasher Unit Red,ZC17T,9.99
Surface Reed Switch,YW47B,4.99
Recessed Reed Switch,YW46A,4.39
Heavy Duty Reed Switch,TZ45Y,4.59
Five Terminal Flush Contact Reed Switch,FK77J,4.09
Outdoor PIR Light Control Device,BZ18U,19.99
UPVC Window Contact Switch,MM11M,4.19
Push Action Panic Button,MM06G,6.09
Lynteck Micron PIR Sensor,SJ58N,13.49
Lynteck Focus PIR Sensor,SJ56L,14.99
Yale Easy Fit Telecommunicating Intruder Alarm Kit (used),B34NY,215.99
Lynteck Polypropylene Low Profile Siren Housing,YS08J,9.99
